date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:04:59	17202/17202	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22445f-645b909a-18ea7ae51704388c;gz%22	https://askbootstrap.com/preview/eatsome/vender/sidebar/hc-offcanvas-nav.js	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/vender/sidebar/hc-offcanvas-nav.js	(from https://askbootstrap.com/preview/eatsome/)
10:05:00	808/808	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2258f-6467674a-a80c080bde8e179e;gz%22	https://askbootstrap.com/preview/eatsome/js/custom.js	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/js/custom.js	(from https://askbootstrap.com/preview/eatsome/)
10:05:00	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%226500883e-302c%22	https://askbootstrap.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://askbootstrap.com/preview/eatsome/)
10:05:01	537868/537868	---M--	200	added ('OK')	font/woff2	etag:%228350c-645b90a9-2583c97e8b63d0eb;;;%22	https://askbootstrap.com/preview/eatsome/vender/icons/fonts/icofont.woff2	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/vender/icons/fonts/icofont.woff2	(from https://askbootstrap.com/preview/eatsome/vender/icons/icofont.min.css)
10:05:01	645604/645604	---MCZ	200	added ('OK')	application/font-woff	etag:W/%229d9e4-645b90a9-c00364cb325e4fa4;;;%22	https://askbootstrap.com/preview/eatsome/vender/icons/fonts/icofont.woff	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/vender/icons/fonts/icofont.woff	(from https://askbootstrap.com/preview/eatsome/vender/icons/icofont.min.css)
10:05:01	4178/4178	---M--	200	added ('OK')	image/gif	etag:%221052-645b90a8-5efff4a0c4bc98aa;;;%22	https://askbootstrap.com/preview/eatsome/vender/slick/slick/ajax-loader.gif	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/vender/slick/slick/ajax-loader.gif	(from https://askbootstrap.com/preview/eatsome/vender/slick/slick/slick-theme.css)
10:05:01	2048/2048	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22800-645b90aa-47db3efdbb5fc786;gz%22	https://askbootstrap.com/preview/eatsome/vender/slick/slick/fonts/slick.eot	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/vender/slick/slick/fonts/slick.eot	(from https://askbootstrap.com/preview/eatsome/vender/slick/slick/slick-theme.css)
10:05:02	2048/2048	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22800-645b90aa-47db3efdbb5fc786;gz%22	https://askbootstrap.com/preview/eatsome/vender/slick/slick/fonts/slick.eot?	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/vender/slick/slick/fonts/slickd41d.eot	(from https://askbootstrap.com/preview/eatsome/vender/slick/slick/slick-theme.css)
10:05:02	1380/1380	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22564-645b90aa-620b8b5765730815;;;%22	https://askbootstrap.com/preview/eatsome/vender/slick/slick/fonts/slick.woff	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/vender/slick/slick/fonts/slick.woff	(from https://askbootstrap.com/preview/eatsome/vender/slick/slick/slick-theme.css)
10:05:02	1892/1892	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22764-645b90aa-c076bf22b6cfeae8;gz%22	https://askbootstrap.com/preview/eatsome/vender/slick/slick/fonts/slick.ttf	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/vender/slick/slick/fonts/slick.ttf	(from https://askbootstrap.com/preview/eatsome/vender/slick/slick/slick-theme.css)
10:05:02	2152/2152	---M-Z	200	added ('OK')	image/svg+xml	etag:%22868-645b90a9-12d31880400662ee;gz%22	https://askbootstrap.com/preview/eatsome/vender/slick/slick/fonts/slick.svg	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/vender/slick/slick/fonts/slick.svg	(from https://askbootstrap.com/preview/eatsome/vender/slick/slick/slick-theme.css)
10:05:02	104544/104544	---M--	200	added ('OK')	font/woff2	etag:%2219860-645b90a7-f37b4f7819f7a6c7;;;%22	https://askbootstrap.com/preview/eatsome/vender/fontawesome/webfonts/fa-brands-400.woff2	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/vender/fontawesome/webfonts/fa-brands-400.woff2	(from https://askbootstrap.com/preview/eatsome/vender/fontawesome/css/all.min.css)
10:05:03	180148/180148	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%222bfb4-645b90a7-9e8af1d7ee460f71;gz%22	https://askbootstrap.com/preview/eatsome/vender/fontawesome/webfonts/fa-brands-400.ttf	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/vender/fontawesome/webfonts/fa-brands-400.ttf	(from https://askbootstrap.com/preview/eatsome/vender/fontawesome/css/all.min.css)
10:05:03	23900/23900	---M--	200	added ('OK')	font/woff2	etag:%225d5c-645b90a7-14069564b0f36c90;;;%22	https://askbootstrap.com/preview/eatsome/vender/fontawesome/webfonts/fa-regular-400.woff2	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/vender/fontawesome/webfonts/fa-regular-400.woff2	(from https://askbootstrap.com/preview/eatsome/vender/fontawesome/css/all.min.css)
10:05:03	60380/60380	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22ebdc-645b90a7-a4e53c8eecea7eda;gz%22	https://askbootstrap.com/preview/eatsome/vender/fontawesome/webfonts/fa-regular-400.ttf	C:/Users/PC/OneDrive/Documents/template/httrack/order-food-1/askbootstrap.com/preview/eatsome/vender/fontawesome/webfonts/fa-regular-400.ttf	(from https://askbootstrap.com/preview/eatsome/vender/fontawesome/css/all.min.css)
